gid_2,state,district,engtype
IND.22.10_1,Meghalaya,West Khasi Hills,District
IND.23.1_1,Mizoram,Aizawl,District
IND.23.2_1,Mizoram,Champhai,District
IND.23.3_1,Mizoram,Kolasib,District
IND.23.4_1,Mizoram,Lawangtlai,District
IND.23.5_1,Mizoram,Lunglei,District
IND.23.6_1,Mizoram,Mamit,District
IND.23.7_1,Mizoram,Saiha,District
IND.23.8_1,Mizoram,Serchhip,District
IND.25.1_1,NCT of Delhi,West,District
IND.24.1_1,Nagaland,Dimapur,District
IND.24.2_1,Nagaland,Kiphire,District
IND.24.3_1,Nagaland,Kohima,District
IND.24.4_1,Nagaland,Longleng,District
IND.24.5_1,Nagaland,Mokokchung,District
IND.24.6_1,Nagaland,Mon,District
IND.24.7_1,Nagaland,Peren,District
IND.24.8_1,Nagaland,Phek,District
IND.24.9_1,Nagaland,Tuensang,District
IND.24.10_1,Nagaland,Wokha,District
IND.24.11_1,Nagaland,Zunheboto,District
IND.26.1_1,Odisha,Anugul,District
IND.26.2_1,Odisha,Balangir,District
IND.26.3_1,Odisha,Baleshwar,District
IND.26.4_1,Odisha,Bargarh,District
IND.26.5_1,Odisha,Bauda,District
IND.26.6_1,Odisha,Bhadrak,District
IND.26.7_1,Odisha,Cuttack,District
IND.26.8_1,Odisha,Debagarh,District
IND.26.9_1,Odisha,Dhenkanal,District
IND.26.10_1,Odisha,Gajapati,District
IND.26.11_1,Odisha,Ganjam,District
IND.26.12_1,Odisha,Jagatsinghapur,District
IND.26.13_1,Odisha,Jajapur,District
IND.26.14_1,Odisha,Jharsuguda,District
IND.26.15_1,Odisha,Kalahandi,District
IND.26.16_1,Odisha,Kandhamal,District
IND.26.17_1,Odisha,Kendrapara,District
IND.26.18_1,Odisha,Kendujhar,District
IND.26.19_1,Odisha,Khordha,District
IND.26.20_1,Odisha,Koraput,District
IND.26.21_1,Odisha,Malkangiri,District
IND.26.22_1,Odisha,Mayurbhanj,District
IND.26.23_1,Odisha,Nabarangapur,District
IND.26.24_1,Odisha,Nayagarh,District
IND.26.25_1,Odisha,Nuapada,District
IND.26.26_1,Odisha,Puri,District
IND.26.27_1,Odisha,Rayagada,District
IND.26.28_1,Odisha,Sambalpur,District
IND.26.29_1,Odisha,Subarnapur,District
IND.26.30_1,Odisha,Sundargarh,District
IND.27.1_1,Puducherry,Karaikal,District
IND.27.2_1,Puducherry,Mahe,District
IND.27.3_1,Puducherry,Puducherry,District
IND.27.4_1,Puducherry,Yanam,District
IND.28.1_1,Punjab,Amritsar,District
IND.28.2_1,Punjab,Barnala,District
IND.28.3_1,Punjab,Bathinda,District
IND.28.4_1,Punjab,Faridkot,District
IND.28.5_1,Punjab,Fatehgarh Sahib,District
IND.28.6_1,Punjab,Fazilka,District
IND.28.7_1,Punjab,Firozpur,District
IND.28.8_1,Punjab,Gurdaspur,District
IND.28.9_1,Punjab,Hoshiarpur,District
IND.28.10_1,Punjab,Jalandhar,District
IND.28.11_1,Punjab,Kapurthala,District
IND.28.12_1,Punjab,Ludhiana,District
IND.28.13_1,Punjab,Mansa,District
IND.28.14_1,Punjab,Moga,District
IND.28.15_1,Punjab,Muktsar,District
IND.28.16_1,Punjab,Pathankot,District
IND.28.17_1,Punjab,Patiala,District
IND.28.18_1,Punjab,Rupnagar,District
IND.28.19_1,Punjab,Sahibzada Ajit Singh Nagar,District
IND.28.20_1,Punjab,Sangrur,District
IND.28.21_1,Punjab,Shahid Bhagat Singh Nagar,District
IND.28.22_1,Punjab,Tarn Taran,District
IND.29.1_1,Rajasthan,Ajmer,District
IND.29.2_1,Rajasthan,Alwar,District
IND.29.3_1,Rajasthan,Banswara,District
IND.29.4_1,Rajasthan,Baran,District
IND.29.5_1,Rajasthan,Barmer,District
IND.29.6_1,Rajasthan,Bharatpur,District
IND.29.7_1,Rajasthan,Bhilwara,District
IND.29.8_1,Rajasthan,Bikaner,District
IND.29.9_1,Rajasthan,Bundi,District
IND.29.10_1,Rajasthan,Chittaurgarh,District
IND.29.11_1,Rajasthan,Churu,District
IND.29.12_1,Rajasthan,Dausa,District
IND.29.13_1,Rajasthan,Dhaulpur,District
IND.29.14_1,Rajasthan,Dungarpur,District
IND.29.15_1,Rajasthan,Ganganagar,District
IND.29.16_1,Rajasthan,Hanumangarh,District
IND.29.17_1,Rajasthan,Jaipur,District
IND.29.18_1,Rajasthan,Jaisalmer,District
IND.29.19_1,Rajasthan,Jalor,District
IND.29.20_1,Rajasthan,Jhalawar,District
IND.29.21_1,Rajasthan,Jhunjhunun,District
IND.29.22_1,Rajasthan,Jodhpur,District
IND.29.23_1,Rajasthan,Karauli,District
IND.29.24_1,Rajasthan,Kota,District
IND.29.25_1,Rajasthan,Nagaur,District
IND.29.26_1,Rajasthan,Pali,District
IND.29.27_1,Rajasthan,Pratapgarh,District
IND.29.28_1,Rajasthan,Rajsamand,District
IND.29.29_1,Rajasthan,Sawai Madhopur,District
IND.29.30_1,Rajasthan,Sikar,District
IND.29.31_1,Rajasthan,Sirohi,District
IND.29.32_1,Rajasthan,Tonk,District
IND.29.33_1,Rajasthan,Udaipur,District
IND.30.1_1,Sikkim,East Sikkim,District
IND.30.2_1,Sikkim,North Sikkim,District
IND.30.3_1,Sikkim,South Sikkim,District
IND.30.4_1,Sikkim,West Sikkim,District
IND.31.1_1,Tamil Nadu,Ariyalur,District
IND.31.2_1,Tamil Nadu,Chennai,District
IND.31.3_1,Tamil Nadu,Coimbatore,District
IND.31.4_1,Tamil Nadu,Cuddalore,District
IND.31.5_1,Tamil Nadu,Dharmapuri,District
IND.31.6_1,Tamil Nadu,Dindigul,District
IND.31.7_1,Tamil Nadu,Erode,District
IND.31.8_1,Tamil Nadu,Kancheepuram,District
IND.31.9_1,Tamil Nadu,Kanniyakumari,District
IND.31.10_1,Tamil Nadu,Karur,District
IND.31.11_1,Tamil Nadu,Krishnagiri,District
IND.31.12_1,Tamil Nadu,Madurai,District
IND.31.13_1,Tamil Nadu,Nagappattinam,District
IND.31.14_1,Tamil Nadu,Namakkal,District
IND.31.15_1,Tamil Nadu,Perambalur,District
IND.31.16_1,Tamil Nadu,Pudukkottai,District
IND.31.17_1,Tamil Nadu,Ramanathapuram,District
IND.31.18_1,Tamil Nadu,Salem,District
IND.31.19_1,Tamil Nadu,Sivaganga,District
IND.31.20_1,Tamil Nadu,Thanjavur,District
IND.31.21_1,Tamil Nadu,The Nilgiris,District
IND.31.22_1,Tamil Nadu,Theni,District
IND.31.23_1,Tamil Nadu,Thiruvallur,District
IND.31.24_1,Tamil Nadu,Thiruvarur,District
IND.31.25_1,Tamil Nadu,Thoothukkudi,District
IND.31.26_1,Tamil Nadu,Tiruchirappalli,District
IND.31.27_1,Tamil Nadu,Tirunelveli,District
IND.31.28_1,Tamil Nadu,Tiruppur,District
IND.31.29_1,Tamil Nadu,Tiruvannamalai,District
IND.31.30_1,Tamil Nadu,Vellore,District
IND.31.31_1,Tamil Nadu,Viluppuram,District
IND.31.32_1,Tamil Nadu,Virudunagar,District
IND.32.1_1,Telangana,Adilabad,District
IND.32.2_1,Telangana,Hyderabad,District
IND.32.3_1,Telangana,Karimnagar,District
IND.32.4_1,Telangana,Khammam,District
IND.32.5_1,Telangana,Mahbubnagar,District
IND.32.6_1,Telangana,Medak,District
IND.32.7_1,Telangana,Nalgonda,District
IND.32.8_1,Telangana,Nizamabad,District
IND.32.9_1,Telangana,Ranga Reddy,District
IND.32.10_1,Telangana,Warangal,District
IND.33.1_1,Tripura,Dhalai,District
IND.33.2_1,Tripura,Gomati,District
IND.33.3_1,Tripura,Khowai,District
IND.33.4_1,Tripura,North Tripura,District
IND.33.5_1,Tripura,Sipahijala,District
IND.33.6_1,Tripura,South Tripura,District
IND.33.7_1,Tripura,Unokoti,District
IND.33.8_1,Tripura,West Tripura,District
IND.34.1_1,Uttar Pradesh,Agra,District
IND.34.2_1,Uttar Pradesh,Aligarh,District
